id,name,county,state,country,latitude,longitude,watershed,stream,form,wwd_url
OR-3702,Phoenix Falls,Deschutes County,Oregon,United States,44.13702,-121.69589,Columbia River,East Fork Park Creek,Veiling Horsetail,https://www.worldwaterfalldatabase.com/waterfall/Phoenix-Falls-3702
OR-3703,Double Falls,Deschutes County,Oregon,United States,44.04165,-121.57837,Deschutes River,Tumalo Creek,Tiered Plunges,https://www.worldwaterfalldatabase.com/waterfall/Double-Falls-3703
OR-3704,Middle Tumalo Falls,Deschutes County,Oregon,United States,44.048,-121.59242,Deschutes River,Tumalo Creek,Vertical Curtain,https://www.worldwaterfalldatabase.com/waterfall/Middle-Tumalo-Falls-3704
OR-3705,Middle Park Creek Falls,Deschutes County,Oregon,United States,44.14459,-121.69216,Columbia River,Park Creek,Horsetail,https://www.worldwaterfalldatabase.com/waterfall/Middle-Park-Creek-Falls-3705
OR-3706,Columnar Canyon Falls,Deschutes County,Oregon,United States,44.14947,-121.69063,Deschutes River,South Fork Whychus Creek,Tiered Plunges,https://www.worldwaterfalldatabase.com/waterfall/Columnar-Canyon-Falls-3706
OR-3707,Howlaak Falls,Deschutes County,Oregon,United States,44.14563,-121.69183,Columbia River,Park Creek,Veiling Horsetail,https://www.worldwaterfalldatabase.com/waterfall/Howlaak-Falls-3707
OR-3711,Kaluwas Falls,Deschutes County,Oregon,United States,44.14292,-121.6848,Columbia River,Whychus Creek,Tiered Horsetails,https://www.worldwaterfalldatabase.com/waterfall/Kaluwas-Falls-3711
OR-3712,"Cascades, The",Deschutes County,Oregon,United States,44.14732,-121.68472,Columbia River,Whychus Creek,Plunge,https://www.worldwaterfalldatabase.com/waterfall/Cascades-The-3712
OR-3713,Chush Falls,Deschutes County,Oregon,United States,44.14975,-121.68298,Columbia River,Whychus Creek,Veiling Plunge,https://www.worldwaterfalldatabase.com/waterfall/Chush-Falls-3713
OR-3714,Lower Linton Falls,Lane County,Oregon,United States,44.16281,-121.88809,Columbia River,Linton Creek,Veiling Horsetail,https://www.worldwaterfalldatabase.com/waterfall/Lower-Linton-Falls-3714
OR-3715,Fall Creek Falls,Lane County,Oregon,United States,43.592235,-122.138774,Willamette River,Fall Creek,Tiered Horsetails,https://www.worldwaterfalldatabase.com/waterfall/Fall-Creek-Falls-3715
OR-38784,Middle Fall Creek Falls,Lane County,Oregon,United States,43.593746,-122.140376,,Fall Creek,Plunge,https://www.worldwaterfalldatabase.com/waterfall/Middle-Fall-Creek-Falls-38784
OR-3716,Linton Falls,Lane County,Oregon,United States,44.16012,-121.88354,Columbia River,Linton Creek,Tiered Horsetails,https://www.worldwaterfalldatabase.com/waterfall/Linton-Falls-3716
OR-3717,Lower Diamond Creek Falls,Lane County,Oregon,United States,43.61272,-122.14018,Willamette River,Diamond Creek,Tiered Horsetails,https://www.worldwaterfalldatabase.com/waterfall/Lower-Diamond-Creek-Falls-3717
OR-3718,Needle Falls,Lane County,Oregon,United States,43.76227,-122.37187,Willamette River,Unnamed,Segmented Plunges,https://www.worldwaterfalldatabase.com/waterfall/Needle-Falls-3718
OR-3719,Salmon Falls,Lane County,Oregon,United States,43.76144,-122.37483,Willamette River,Salmon Creek,Segmented Gradual Cascade,https://www.worldwaterfalldatabase.com/waterfall/Salmon-Falls-3719
OR-3720,Bridge Creek Falls,Lane County,Oregon,United States,43.7939,-122.55723,Willamette River,Bridge Creek,Veiling Horsetail,https://www.worldwaterfalldatabase.com/waterfall/Bridge-Creek-Falls-3720
OR-3722,South Creek Falls,Lane County,Oregon,United States,43.8242,-122.62137,Willamette River,South Creek,Horsetail,https://www.worldwaterfalldatabase.com/waterfall/South-Creek-Falls-3722
OR-3723,Whitehead Creek Falls,Lane County,Oregon,United States,43.788,-122.571,Willamette River,Whitehead Creek,,https://www.worldwaterfalldatabase.com/waterfall/Whitehead-Creek-Falls-3723
OR-3724,Kreuger Rock Falls,Lane County,Oregon,United States,43.75807,-122.59273,Willamette River,Unnamed,Tiered Horsetails,https://www.worldwaterfalldatabase.com/waterfall/Kreuger-Rock-Falls-3724
OR-3725,Upper Bridge Creek Falls,Lane County,Oregon,United States,43.77122,-122.58023,Willamette River,Bridge Creek,Horsetail,https://www.worldwaterfalldatabase.com/waterfall/Upper-Bridge-Creek-Falls-3725
OR-3726,Duval Creek Falls,Lane County,Oregon,United States,43.78823,-122.62836,Willamette River,Duval Creek,,https://www.worldwaterfalldatabase.com/waterfall/Duval-Creek-Falls-3726
OR-3727,Brice Creek Falls,Lane County,Oregon,United States,43.66887,-122.704,Row River,Brice Creek,Plunging Punchbowl,https://www.worldwaterfalldatabase.com/waterfall/Brice-Creek-Falls-3727
OR-3728,Lower Parker Falls,Lane County,Oregon,United States,43.63598,-122.60678,Row River,Parker Creek,Segmented Plunges,https://www.worldwaterfalldatabase.com/waterfall/Lower-Parker-Falls-3728
OR-3729,Upper Parker Falls,Lane County,Oregon,United States,43.63754,-122.60389,Row River,Parker Creek,Steep Tiered Cascades,https://www.worldwaterfalldatabase.com/waterfall/Upper-Parker-Falls-3729
OR-3730,Trestle Creek Falls,Lane County,Oregon,United States,43.64795,-122.65667,Row River,Trestle Creek,Horsetail,https://www.worldwaterfalldatabase.com/waterfall/Trestle-Creek-Falls-3730
OR-3731,Marten Buttes Falls,Linn County,Oregon,United States,44.77511,-122.19358,Santiam River,Unnamed,Horsetail,https://www.worldwaterfalldatabase.com/waterfall/Marten-Buttes-Falls-3731
OR-3732,Singing Falls,Douglas County,Oregon,United States,42.87293,-122.87467,Umpqua River,,,https://www.worldwaterfalldatabase.com/waterfall/Singing-Falls-3732
OR-3733,Rigdon Point Falls,Douglas County,Oregon,United States,43.42163,-122.33976,Willamette River,,,https://www.worldwaterfalldatabase.com/waterfall/Rigdon-Point-Falls-3733
OR-3734,Otter Lake Falls,Lane County,Oregon,United States,43.84438,-122.04682,Willamette River,,,https://www.worldwaterfalldatabase.com/waterfall/Otter-Lake-Falls-3734
OR-3735,Moolock Falls,Lane County,Oregon,United States,43.84302,-122.06771,Willamette River,,,https://www.worldwaterfalldatabase.com/waterfall/Moolock-Falls-3735
OR-3736,French Basin Falls 3,Marion County,Oregon,United States,44.76515,-122.22411,Santiam River,,,https://www.worldwaterfalldatabase.com/waterfall/French-Basin-Falls-3-3736
OR-3737,Lower Spider Creek Falls,Douglas County,Oregon,United States,43.43726,-122.35591,Willamette River,Spider Creek,,https://www.worldwaterfalldatabase.com/waterfall/Lower-Spider-Creek-Falls-3737
OR-3738,Upper Spider Creek Falls,Douglas County,Oregon,United States,43.43804,-122.34975,Willamette River,Spider Creek,,https://www.worldwaterfalldatabase.com/waterfall/Upper-Spider-Creek-Falls-3738
OR-3739,Yamhill Falls,Yamhill County,Oregon,United States,45.23033,-123.10407,Willamette River,,,https://www.worldwaterfalldatabase.com/waterfall/Yamhill-Falls-3739
OR-3740,Wash Creek Falls,Clackamas County,Oregon,United States,45.0343,-122.20753,Clackamas River,Wash Creek,,https://www.worldwaterfalldatabase.com/waterfall/Wash-Creek-Falls-3740
OR-3741,Nevergo Falls,Lane County,Oregon,United States,43.89398,-122.49061,Willamette River,,,https://www.worldwaterfalldatabase.com/waterfall/Nevergo-Falls-3741
OR-3742,French Basin Falls 2,Marion County,Oregon,United States,44.76411,-122.22672,Santiam River,,,https://www.worldwaterfalldatabase.com/waterfall/French-Basin-Falls-2-3742
OR-3743,French Basin Falls 5,Marion County,Oregon,United States,44.7645,-122.22562,Santiam River,Unamed,Gradual Cascade,https://www.worldwaterfalldatabase.com/waterfall/French-Basin-Falls-5-3743
OR-3744,Unnamed Waterfall,Marion County,Oregon,United States,44.76323,-122.19871,Santiam River,,,https://www.worldwaterfalldatabase.com/waterfall/3744
OR-3745,Lost Creek Falls,Linn County,Oregon,United States,44.59218,-122.10563,Santiam River,Lost Creek,,https://www.worldwaterfalldatabase.com/waterfall/Lost-Creek-Falls-3745
OR-3746,Ayers Creek Falls,Marion County,Oregon,United States,44.81182,-122.58835,Santiam River,Ayers Creek,Plunge,https://www.worldwaterfalldatabase.com/waterfall/Ayers-Creek-Falls-3746
OR-3747,Upper Ayers Creek Falls,Marion County,Oregon,United States,44.81353,-122.58725,Santiam River,Ayers Creek,Horsetail,https://www.worldwaterfalldatabase.com/waterfall/Upper-Ayers-Creek-Falls-3747
OR-3748,Dome Rock Falls,Marion County,Oregon,United States,44.76401,-122.209,Santiam River,,Tiered Horsetails,https://www.worldwaterfalldatabase.com/waterfall/Dome-Rock-Falls-3748
OR-3749,Sherars Falls,Wasco County,Oregon,United States,45.25859,-121.03855,Deschutes River,Deschutes River,,https://www.worldwaterfalldatabase.com/waterfall/Sherars-Falls-3749
OR-3751,White River Falls,Wasco County,Oregon,United States,45.24292,-121.09718,Deschutes River,White River,Segmented Horsetails,https://www.worldwaterfalldatabase.com/waterfall/White-River-Falls-3751
OR-3752,Lower White River Falls,Wasco County,Oregon,United States,45.24095,-121.09342,Deschutes River,White River,Sliding Punchbowl,https://www.worldwaterfalldatabase.com/waterfall/Lower-White-River-Falls-3752
OR-3754,South Fork Roaring River Falls,Clackamas County,Oregon,United States,45.17389,-122.03806,Clackamas River,South Fork Roaring River,,https://www.worldwaterfalldatabase.com/waterfall/South-Fork-Roaring-River-Falls-3754
OR-3755,Perrywinkle Falls,Clackamas County,Oregon,United States,45.18083,-122.06069,Clackamas River,Roaring River,,https://www.worldwaterfalldatabase.com/waterfall/Perrywinkle-Falls-3755
OR-3756,Pansy Basin Falls,Clackamas County,Oregon,United States,44.88778,-122.11333,Clackamas River,,,https://www.worldwaterfalldatabase.com/waterfall/Pansy-Basin-Falls-3756
OR-3757,Hugh Creek Falls,Clackamas County,Oregon,United States,44.92276,-122.19876,Clackamas River,Hugh Creek,,https://www.worldwaterfalldatabase.com/waterfall/Hugh-Creek-Falls-3757
OR-3758,Farm Creek Falls,Clackamas County,Oregon,United States,44.95865,-122.06203,Clackamas River,Farm Creek,,https://www.worldwaterfalldatabase.com/waterfall/Farm-Creek-Falls-3758
